ID,Score,,,,,,Variance Formula,,,,,,,
43,18,,,Central Tendancy,,,Score(x)-mean(xBar),Sqrt(Score-mean),,,,,,
50,32,,,Mean,67.64,,-49.64,2464.1296,,,,,,
7,63,,,Median,68,,-35.64,1270.2096,,,,,,
48,64,,,Mode,68,,-4.64,21.5296,,,,,,
1,65,,,,,,-3.64,13.2496,,,,,,
3,65,,,Dispersion or Spread,,,-2.64,6.9696,,,,,,
5,65,,Range,Minimum,18,,-2.64,6.9696,,,,,,
15,65,,,Maximum,112,,-2.64,6.9696,,,,,,
32,65,,,Variance,149.3779592,,-2.64,6.9696,,,,,,
37,65,,,Standard Deviation,12.22202762,,-2.64,6.9696,,,,,,2
44,65,,,,,,-2.64,6.9696,,,,,,
14,66,,,,,,-2.64,6.9696,,,,,,
24,66,,Variance Formula,,,,-1.64,2.6896,,,,,,
39,66,,,,,,-1.64,2.6896,,,,,,
40,66,,,,,,-1.64,2.6896,,,,,,
42,66,,,,,,-1.64,2.6896,,,,,,
13,67,,,,,,-1.64,2.6896,,,,,,
18,67,,,,,,-0.64,0.4096,,,,,,
19,67,,,,,,-0.64,0.4096,,,,,,
29,67,,,,,,-0.64,0.4096,,,,,,
34,67,,,,,,-0.64,0.4096,,,,,,
46,67,,,,,,-0.64,0.4096,,,,,,
47,67,,,,,,-0.64,0.4096,,,,,,
6,68,,,,,,-0.64,0.4096,,,,,,
9,68,,,,,,0.36,0.1296,,,,,,
11,68,,,,,,0.36,0.1296,,,,,,
16,68,,,,,,0.36,0.1296,,,,,,
20,68,,,,,,0.36,0.1296,,,,,,
22,68,,,,,,0.36,0.1296,,,,,,
27,68,,,,,,0.36,0.1296,,,,,,
36,68,,,,,,0.36,0.1296,,,,,,
17,69,,,,,,0.36,0.1296,,,,,,
30,69,,,,,,1.36,1.8496,,,,,,
31,69,,,,,,1.36,1.8496,,,,,,
35,69,,,,,,1.36,1.8496,,,,,,
38,69,,,,,,1.36,1.8496,,,,,,
41,69,,,,,,1.36,1.8496,,,,,,
49,69,,,,,,1.36,1.8496,,,,,,
2,70,,,,,,1.36,1.8496,,,,,,
4,70,,,,,,2.36,5.5696,,,,,,
8,70,,,,,,2.36,5.5696,,,,,,
23,70,,,,,,2.36,5.5696,,,,,,
28,70,,,,,,2.36,5.5696,,,,,,
33,70,,,,,,2.36,5.5696,,,,,,
12,71,,,,,,2.36,5.5696,,,,,,
25,71,,,,,,3.36,11.2896,,,,,,
45,71,,,,,,3.36,11.2896,,,,,,
21,74,,,,,,3.36,11.2896,,,,,,
26,105,,,,,,6.36,40.4496,,,,,,
10,112,,,,,,37.36,1395.7696,,,,,,
,,,,,,,44.36,1967.8096,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,149.3779592,,,,,,
